page,row,file,class,method,regex,input,count
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.eYqHAG[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.TXxIn[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.gDGv[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.mCY[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.xxNgqt[*],4
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.PcgQ[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.fOoyzT[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.JzuSm[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.Fno[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.zZV[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.ZzjgjT[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.Hi[*].NrX[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.iVv[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.ulm[*].Rdiwsu[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.lFjNcb[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.Yxhd[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.LpaZ[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.oFcDu[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.plgbgh[*],3
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.Lbk[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.tZrwy[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.DTSK[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.OIIU[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.UmWG[*],4
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.Jqc[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.NnY[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.NhnMKe[*].nFO[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.obk[*],4
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.fw[*].zwTsdM[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.Szk[*],1
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.vMai[*],2
300,412,PathTokenizer.java,com.jayway.jsonpath.internal.PathTokenizer,<init>,[^\?\+=\-\*/!]\(,$.nex[*],2
