"('EndpointHelper.java', 'org.apache.camel.util.EndpointHelper', 'matchRegex', 'ShsLabel*', 'SOAPAction')","[923249, 923290]"
"('IntrospectionSupport.java', 'org.apache.camel.util.IntrospectionSupport', 'isGetter', '(get|is)[A-Z].*', 'getHeaderName')","[22327, 22380, 71609, 71662, 98204, 98257, 146061, 146114, 172542, 172595, 221824, 221877, 248419, 248472, 344461, 344515, 370002, 370056, 444122, 444176, 448952, 449006, 656728, 656782]"
"('IntrospectionSupport.java', 'org.apache.camel.util.IntrospectionSupport', 'isGetter', '(get|is)[A-Z].*', 'getIndex')","[5149, 5202, 32323, 32376, 54431, 54484, 80867, 80920, 106775, 106828, 128883, 128936, 155364, 155417, 182538, 182591, 204646, 204699, 231082, 231135, 256990, 257043, 279959, 280014, 303957, 304012, 326588, 326643, 349334, 349388, 379871, 379925, 402044, 402098, 426617, 426671, 453825, 453879, 483497, 483551, 512905, 512959, 535711, 535765, 558354, 558408, 581039, 581100, 612223, 612283, 639171, 639225, 661601, 661655, 691059, 691113, 714788, 714842, 737380, 737434, 759492, 759546, 782028, 782082, 804727, 804781, 827533, 827587, 851198, 851252, 872876, 872930, 895037, 895091]"
"('IntrospectionSupport.java', 'org.apache.camel.util.IntrospectionSupport', 'isGetter', '(get|is)[A-Z].*', 'isInheritErrorHandler')","[10189, 10242, 37468, 37521, 59471, 59524, 85907, 85960, 111920, 111973, 133923, 133976, 160404, 160457, 187683, 187736, 209686, 209739, 236122, 236175, 262135, 262188, 285191, 285246, 309189, 309244, 331929, 331984, 354470, 354524, 385114, 385168, 407180, 407234, 431753, 431807, 458961, 459015, 488740, 488794, 518041, 518095, 540954, 541008, 563597, 563651, 586847, 586908, 617935, 617995, 644414, 644468, 666737, 666791, 696302, 696356, 719924, 719978, 742516, 742570, 764735, 764789, 787271, 787325, 809863, 809917, 832776, 832830, 856334, 856388, 878119, 878173, 900173, 900227]"
"('DefaultHeaderFilterStrategy.java', 'org.apache.camel.impl.DefaultHeaderFilterStrategy', 'doFiltering', '(?i)(Camel|org\\.apache\\.camel)[\\.|a-z|A-z|0-9]*', 'CamelHttpServletResponse')",[925931]
"('EndpointHelper.java', 'org.apache.camel.util.EndpointHelper', 'matchRegex', 'ShsLabel*', 'CamelHttpServletResponse')","[923415, 923456]"
"('IntrospectionSupport.java', 'org.apache.camel.util.IntrospectionSupport', 'isGetter', '(get|is)[A-Z].*', 'getUriOrRef')","[28174, 28227, 102626, 102679, 178389, 178442, 252841, 252894, 531483, 531537, 686831, 686885, 823305, 823359]"
"('DataPartToCamelMessageProcessor.java', 'se.inera.axel.shs.camel.DataPartToCamelMessageProcessor', 'process', '.+;[ ]*charset=(.+?)([ ]*;.+)*', 'text/plain')","[914470, 917201, 917260, 918648, 920036, 922767]"
"('EndpointHelper.java', 'org.apache.camel.util.EndpointHelper', 'matchRegex', 'ShsDataPart*', 'CamelHttpServletRequest')","[924411, 924452]"
"('IntrospectionSupport.java', 'org.apache.camel.util.IntrospectionSupport', 'isGetter', '(get|is)[A-Z].*', 'getCharset')","[777369, 777423]"
"('IntrospectionSupport.java', 'org.apache.camel.util.IntrospectionSupport', 'isSetter', 'set[A-Z].*', 'setBody')","[8247, 8352, 35421, 35526, 57529, 57634, 83965, 84070, 109873, 109978, 131981, 132086, 158462, 158567, 185636, 185741, 207744, 207849, 234180, 234285, 260088, 260193, 283175, 283284, 307064, 307173, 329804, 329913, 352491, 352598, 383028, 383135, 405201, 405308, 429774, 429881, 456982, 457089, 486654, 486761, 515955, 516062, 538868, 538975, 561511, 561618, 584609, 584730, 615615, 615734, 642328, 642435, 664758, 664865, 694216, 694323, 717838, 717945, 740537, 740644, 762649, 762756, 785185, 785292, 807884, 807991, 830690, 830797, 854248, 854355, 876033, 876140, 898194, 898301]"
