"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[21: multipartResolve(Bethel DE US)]')",[1124]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Planning')","[104816, 105563, 323557, 324304]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Improvised')","[91064, 91600, 309805, 310341]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[27: multipartResolve([London, ENG, UK] 2,643,743)]')",[2947]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '350-Km')","[48824, 49789, 267565, 268530]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'drinking')","[76478, 77294, 168096, 168912, 295219, 296035, 386837, 387653]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'convince')","[92629, 93523, 311370, 312264]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'commander')","[53732, 54444, 58971, 59194, 153558, 154197, 155182, 155982, 272473, 273185, 277712, 277935, 372299, 372938, 373923, 374723]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'currently')","[173961, 174589, 187174, 188094, 392702, 393330, 405915, 406835]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[9: multipartResolve([Fairfax, Virginia] 4,758,023)](com.bericotech.clavin.resolver.multipart.MultiLevelMultipartLocationResolverTest)')","[2178, 6604]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'share')","[68193, 68627, 286934, 287368]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'aid,')","[14708, 15650, 233449, 234391]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'restructuring')","[30001, 30801, 248742, 249542]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'progress')","[94154, 95112, 173836, 174469, 312895, 313853, 392577, 393210]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '15')","[31480, 32038, 34442, 34939, 71379, 72151, 73198, 74033, 140969, 142143, 162997, 163769, 164816, 165651, 172310, 172732, 250221, 250779, 253183, 253680, 290120, 290892, 291939, 292774, 359710, 360884, 381738, 382510, 383557, 384392, 391051, 391473]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'killing')","[31405, 31966, 116513, 117080, 143022, 143409, 154932, 155742, 250146, 250707, 335254, 335821, 361763, 362150, 373673, 374483]"
"('BasicGeoName.java', 'com.bericotech.clavin.gazetteer.BasicGeoName', 'getAdminLevel', '^ADM(\\d)H?$', 'ADM1')","[446690, 446885, 447139, 447316, 447518, 447697, 447932, 448197, 448313, 448370, 448429, 448460, 448490, 448521, 448639, 448874, 448964, 449023, 449084, 449147, 449180, 449212, 449245, 449472, 449559, 449616, 449675, 449736, 449768, 449799, 449831, 450026, 450312, 450491, 450609, 450664, 450721, 450780, 450811, 450841, 450872, 450990, 451108, 451226, 451428, 451607, 451725, 451839, 451953, 452067, 452181, 452295, 452409, 452523, 452637, 452692, 452749, 452808, 452839, 452869, 452900, 453018, 453220, 453336, 453393, 453452, 453483, 453513, 453544, 453662, 453864, 454043, 454278, 454368, 454427, 454488, 454551, 454584, 454616, 454649, 454876, 454963, 455020, 455079, 455140, 455172, 455203, 455235, 455260, 455315, 455372, 455431, 455462, 455492, 455523, 455641, 455759, 455877, 455991, 456109, 456336, 456422, 456477, 456534, 456593, 456624, 456654, 456685, 456803]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[14: multipartResolve([Worcester, Massachusetts, United States] 4,956,184)](com.bericotech.clavin.resolver.multipart.MultiLevelMultipartLocationResolverTest)')","[2398, 6714]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'who')","[14208, 15170, 28323, 28894, 50035, 50931, 53607, 54324, 67868, 68315, 84739, 85152, 86049, 87640, 96152, 96884, 118027, 118556, 119117, 119948, 121626, 122113, 124380, 125422, 145769, 146278, 175247, 175822, 176777, 177329, 184552, 185170, 194039, 194969, 205985, 206893, 225540, 226118, 232949, 233911, 247064, 247635, 268776, 269672, 272348, 273065, 286609, 287056, 303480, 303893, 304790, 306381, 314893, 315625, 336768, 337297, 337858, 338689, 340367, 340854, 343121, 344163, 364510, 365019, 393988, 394563, 395518, 396070, 403293, 403911, 412780, 413710, 424726, 425634, 444281, 444859]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'stakeholders.')","[213845, 214037, 432586, 432778]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'recovery')","[97885, 98560, 175747, 177257, 316626, 317301, 394488, 395998]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Abdihakim')","[173436, 174085, 392177, 392826]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testParishAncestryKeys(com.bericotech.clavin.gazetteer.BasicGeoNameTest)')","[4866, 8277]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Brokenshire.')","[44894, 45470, 263635, 264211]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'more')","[14808, 15746, 34542, 35035, 57921, 58537, 80023, 80656, 128793, 129810, 172535, 172948, 233549, 234487, 253283, 253776, 276662, 277278, 298764, 299397, 347534, 348551, 391276, 391689]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'further')","[146623, 146939, 365364, 365680]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'how')","[16589, 17145, 235330, 235886]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', '4-6,')","[211091, 212304, 429832, 431045]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'com.bericotech.clavin.util.TextUtilsTest')","[4231, 8964]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'key')","[19666, 20219, 238407, 238960]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'quoted')","[41761, 42454, 260502, 261195]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'boost')","[162363, 162798, 381104, 381539]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'so')","[128568, 129594, 347309, 348335]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'war')","[162413, 162846, 186102, 186807, 210691, 211920, 381154, 381587, 404843, 405548, 429432, 430661]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'largest')","[10632, 11042, 229373, 229783]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'refuted')","[37385, 38026, 256126, 256767]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', 'testResolveMultipartLocation[24: multipartResolve([Bethel, North Rhine-Westphalia, Germany] 2,949,766)](com.bericotech.clavin.resolver.multipart.MultiLevelMultipartLocationResolverTest)')","[2838, 6934]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'distributing')","[9393, 9955, 228134, 228696]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'better')","[122731, 123363, 341472, 342104]"
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[6: multipartResolve([Reston, Fairfax, Virginia, United States] 4,781,530)]')",[2023]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', '[15: multipartResolve(London England United Kingdom)]')",[860]
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'Mogadishu.')","[9643, 10195, 23230, 23542, 34089, 34305, 64247, 64559, 65301, 65637, 72079, 72823, 80248, 80872, 91264, 91792, 116888, 117440, 127536, 127968, 129018, 130026, 139197, 139437, 163697, 164441, 171717, 172173, 174061, 174685, 180930, 181362, 228384, 228936, 241971, 242283, 252830, 253046, 282988, 283300, 284042, 284378, 290820, 291564, 298989, 299613, 310005, 310533, 335629, 336181, 346277, 346709, 347759, 348767, 357938, 358178, 382438, 383182, 390458, 390914, 392802, 393426, 399671, 400103]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'sleeping')","[50410, 51291, 269151, 270032]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'conference')","[56404, 57238, 69884, 70154, 210391, 211216, 211632, 212424, 275145, 275979, 288625, 288895, 429132, 429957, 430373, 431165]"
"('TokenizerME.java', 'opennlp.tools.tokenize.TokenizerME', 'tokenizePos', '^[A-Za-z0-9]+$', 'injuries,”')","[158770, 159205, 377511, 377946]"
