"('InputValidator.java', 'net.oddpoet.cucumber.sample.component.InputValidator', 'isValidPlayerInfo', '[\\d ]+', '1 0 0')",[91077]
"('ReflectionUtils.java', 'org.springframework.util.ReflectionUtils', 'isCglibRenamedMethod', 'CGLIB\\$(.+)\\$\\d+', 'equals')","[55242, 55800, 56358, 56916, 57467, 58011, 58555, 59099, 59643, 60187, 60731, 61275, 61826, 62384, 62942, 63500, 64051, 64602, 65153, 65697, 66248, 66799, 67448, 68202]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^총원으로 (.+)가 입력된다$', '3번 선수정보가 3 1 8로 입력된다')",[82592]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""시스템 출력: '2번선수 정보를 입력하시오'"")","[100395, 105563]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^팀 구성 결과를 출력한다$', '1번 선수정보가 1 2 2 3로 입력된다')",[94745]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^그 입력 선수정보는 (.+)하다$', '1번 선수정보가 A 1 B로 입력된다')",[76956]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^시스템 출력: '(.+)'$"", ""시스템 출력: '2번선수 정보를 입력하시오'"")","[100485, 105653]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^시스템 출력: '(.+)'$"", '1번 선수정보가 1 1 2로 입력된다')","[75685, 87952]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""시스템 출력: '총 선수 수를 입력하시오'"")","[99425, 102742, 104104]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', ""^총원이 '(\\d+)'이고$"", '1번 선수정보가 1 0 0로 입력된다')",[90610]
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '.*\\Q.class\\E', 'LoggedWriter.class')","[2015, 39701]"
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', '총원으로 1가 입력된다')",[74183]
"('JdkPatternArgumentMatcher.java', 'cucumber.runtime.JdkPatternArgumentMatcher', 'argumentsFrom', '^(\\d+)번 선수정보가 (.+)로 입력된다$', ""사용자 입력: '3 0'"")",[101133]
"('Description.java', 'org.junit.runner.Description', 'methodAndClassNamePatternGroupOrDefault', '(.*)\\((.*)\\)', ""Then 시스템 출력: '2번선수 정보를 입력하시오'(Scenario: 기본 예제)"")","[33783, 33809, 37492]"
"('AntPathMatcher.java', 'org.springframework.util.AntPathMatcher$AntPathStringMatcher', 'matchStrings', '\\Qtest-classes\\E', 'test-classes')","[774, 1600, 2513, 3420, 4322, 5148, 6055, 6957, 7783, 8696, 9609, 10516, 38850, 39416, 40043, 40664, 41280, 41846, 42467, 43083, 43649, 44276, 44903, 45524]"
